,1.1.1) Internet users,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
0,31.9,3.39,30806.0,99.19,46.0,0.0,1.0,0.0,100.0,96.7,36.8,5.501,4.914,3.82,3363.0,9704.0,1.0,0.0,1.0,1.0,1.0,75.9,32.3,1.0,80.2,7.9,1.0,0.0,0.0,39.7,50.0,30.0,38.0,37.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,40.6,27.6,99.99,53.0,2.2,4.0,36.0,4.2,0.3,38.2,60.0,46.0,2269348.0
1,47.3,7.85,31440.0,98.0,83.36,3.62,2.0,0.0,100.0,96.87,38.4,5.501,2.007,4.01,3357.0,9763.0,1.0,0.0,1.0,1.0,1.0,76.0,38.0,1.0,80.2,7.9,1.0,0.0,0.0,56.0,50.0,38.0,38.0,54.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,41.3,27.6,100.0,53.0,2.2,3.6,34.0,4.0,0.3,42.9,59.0,46.0,2859567.0
2,54.2,3.77,25307.0,98.0,90.0,30.49,2.0,0.0,100.0,96.87,37.4,2.038,2.207,4.41,3391.0,9782.0,2.0,1.0,1.0,1.0,1.0,75.9,38.0,1.0,80.2,8.0,1.0,0.0,2.0,39.7,50.0,36.2,36.2,58.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,42.1,27.6,100.0,53.0,2.2,3.6,33.0,4.1,0.4,47.7,60.0,53.0,3210267.0
3,74.4,3.87,20944.0,98.04,97.45,52.84,1.0,0.0,100.0,100.0,34.3,1.981,2.207,4.41,3376.0,9724.0,4.0,1.0,1.0,1.0,2.0,94.0,38.2,1.0,81.4,8.0,1.0,0.0,2.0,46.0,34.0,30.0,38.0,37.5,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,42.9,27.6,100.0,53.0,2.3,3.5,35.0,4.2,0.4,49.0,60.0,47.0,3067022.0
4,74.4,3.84,20944.0,98.04,97.72,53.63,1.0,0.0,100.0,96.7,32.9,2.379,2.207,4.41,3429.0,9782.0,4.0,1.0,1.0,1.0,2.0,84.0,38.2,1.0,81.4,8.0,1.0,0.0,2.0,58.0,44.0,30.0,36.0,38.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,43.7,27.6,100.0,53.0,2.3,4.0,35.0,4.3,0.5,49.0,64.0,57.0,3582739.0
5,14.7,10.48,5335.0,99.0,60.67,7.0,2.0,0.0,45.9,18.2,33.0,6.67,39.803,10.83,6404.0,5884.0,2.0,0.0,1.0,2.0,2.0,82.0,21.1,0.0,71.2,4.7,2.0,2.0,2.0,54.0,66.0,40.0,30.0,56.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,28.8,42.7,40.67,31.1,2.1,3.3,15.0,3.7,0.3,12.4,28.1,18.2,153571.0
6,11.3,10.95,8476.0,90.0,62.0,8.0,2.0,0.0,69.0,5.55,33.8,6.67,6.807,9.52,6191.0,3698.0,2.0,0.0,1.0,2.0,2.0,84.2,29.0,0.0,71.2,5.1,2.0,2.0,2.0,45.8,50.2,35.4,25.1,63.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,29.8,42.7,41.96,16.7,2.1,3.4,18.0,5.0,0.3,13.0,28.1,18.2,84724.0
7,11.3,12.4,11693.0,90.0,85.0,8.0,2.0,0.0,69.0,5.55,44.2,4.699,7.861,14.26,6447.0,2788.0,2.0,1.0,1.0,2.0,2.0,82.0,29.0,0.0,71.2,5.0,2.0,2.0,2.0,54.0,66.0,40.0,30.0,56.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,30.8,51.3,43.26,16.7,2.0,3.6,19.0,3.3,0.3,14.3,30.3,19.9,96919.0
8,11.3,13.55,11693.0,90.0,85.0,8.0,2.0,0.0,64.5,6.4,30.5,2.172,7.861,14.26,7218.0,2952.0,2.0,1.0,1.0,2.0,2.0,82.0,30.4,0.0,71.2,5.1,2.0,2.0,2.0,54.0,66.0,40.0,30.0,56.5,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,31.8,51.3,43.26,16.7,2.1,3.6,19.0,3.0,0.3,14.3,34.8,25.9,109561.0
9,11.3,14.46,11693.0,90.0,72.0,18.0,2.0,0.0,61.0,6.2,31.6,1.568,7.861,14.26,7285.0,3035.0,2.0,0.0,0.0,2.0,0.0,66.0,30.4,0.0,71.2,5.1,1.0,2.0,2.0,44.0,50.0,34.0,28.0,52.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,32.9,51.3,43.26,16.7,2.1,3.7,26.0,2.9,0.4,14.3,37.3,26.9,119047.0
