,1.1.4) Gender gap in internet access,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG17) Internet access gender gap,BG18) Mobile phone access gender gap,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
1,22.0,7.85,31440.0,98.0,83.36,3.62,2.0,0.0,100.0,96.87,38.4,5.501,2.007,4.01,3357.0,9763.0,1.0,0.0,1.0,1.0,1.0,76.0,38.0,1.0,80.2,7.9,1.0,0.0,0.0,56.0,50.0,38.0,38.0,54.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,41.3,27.6,100.0,53.0,2.2,3.6,34.0,4.0,0.3,13.0,7.0,42.9,1.4285714285714286,1.1138014527845037,69238.91041162229
2,11.7,3.77,25307.0,98.0,90.0,30.49,2.0,0.0,100.0,96.87,37.4,2.038,2.207,4.41,3391.0,9782.0,2.0,1.0,1.0,1.0,1.0,75.9,38.0,1.0,80.2,8.0,1.0,0.0,2.0,39.7,50.0,36.2,36.2,58.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,42.1,27.6,100.0,53.0,2.2,3.6,33.0,4.1,0.4,7.0,8.0,47.7,1.4251781472684084,1.2589073634204275,76253.3729216152
3,21.7,3.87,20944.0,98.04,97.45,52.84,1.0,0.0,100.0,100.0,34.3,1.981,2.207,4.41,3376.0,9724.0,4.0,1.0,1.0,1.0,2.0,94.0,38.2,1.0,81.4,8.0,1.0,0.0,2.0,46.0,34.0,30.0,38.0,37.5,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,42.9,27.6,100.0,53.0,2.3,3.5,35.0,4.2,0.4,13.0,6.0,49.0,1.3986013986013985,1.0955710955710956,71492.35431235432
4,10.9,3.84,20944.0,98.04,97.72,53.63,1.0,0.0,100.0,96.7,32.9,2.379,2.207,4.41,3429.0,9782.0,4.0,1.0,1.0,1.0,2.0,84.0,38.2,1.0,81.4,8.0,1.0,0.0,2.0,58.0,44.0,30.0,36.0,38.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,43.7,27.6,100.0,53.0,2.3,4.0,35.0,4.3,0.5,7.0,7.0,49.0,1.4645308924485125,1.3043478260869565,81984.87414187643
6,39.9,10.95,8476.0,90.0,62.0,8.0,2.0,0.0,69.0,5.55,33.8,6.67,6.807,9.52,6191.0,3698.0,2.0,0.0,1.0,2.0,2.0,84.2,29.0,0.0,71.2,5.1,2.0,2.0,2.0,45.8,50.2,35.4,25.1,63.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,29.8,42.7,41.96,16.7,2.1,3.4,18.0,5.0,0.3,9.9,10.8,13.0,0.9429530201342282,0.610738255033557,2843.0872483221474
7,38.9,12.4,11693.0,90.0,85.0,8.0,2.0,0.0,69.0,5.55,44.2,4.699,7.861,14.26,6447.0,2788.0,2.0,1.0,1.0,2.0,2.0,82.0,29.0,0.0,71.2,5.0,2.0,2.0,2.0,54.0,66.0,40.0,30.0,56.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,30.8,51.3,43.26,16.7,2.0,3.6,19.0,3.3,0.3,10.4,9.9,14.3,0.9837662337662337,0.6461038961038961,3146.720779220779
8,27.8,13.55,11693.0,90.0,85.0,8.0,2.0,0.0,64.5,6.4,30.5,2.172,7.861,14.26,7218.0,2952.0,2.0,1.0,1.0,2.0,2.0,82.0,30.4,0.0,71.2,5.1,2.0,2.0,2.0,54.0,66.0,40.0,30.0,56.5,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,31.8,51.3,43.26,16.7,2.1,3.6,19.0,3.0,0.3,8.9,7.6,14.3,1.0943396226415094,0.8144654088050314,3445.314465408805
9,30.6,14.46,11693.0,90.0,72.0,18.0,2.0,0.0,61.0,6.2,31.6,1.568,7.861,14.26,7285.0,3035.0,2.0,0.0,0.0,2.0,0.0,66.0,30.4,0.0,71.2,5.1,1.0,2.0,2.0,44.0,50.0,34.0,28.0,52.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,32.9,51.3,43.26,16.7,2.1,3.7,26.0,2.9,0.4,10.5,10.1,14.3,1.1337386018237081,0.817629179331307,3618.4498480243165
11,-4.5,11.84,39714.0,98.0,95.0,85.0,2.0,2.0,100.0,85.09,59.2,0.78,0.998,3.33,3274.0,3092.0,2.0,2.0,2.0,2.0,3.0,78.0,45.0,2.0,99.1,10.5,3.0,2.0,2.0,40.0,52.0,48.0,30.0,48.8,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,43.9,41.2,100.0,36.0,1.9,7.0,36.0,5.2,0.7,-3.0,-1.0,71.0,1.5034168564920274,1.571753986332574,164535.94533029612
12,-4.5,18.48,42275.0,98.0,95.0,85.0,2.0,2.0,100.0,85.46,52.8,1.118,0.828,3.59,3306.0,3493.0,2.0,2.0,2.0,2.0,3.0,86.0,45.0,2.0,99.1,10.6,3.0,2.0,2.0,42.0,44.0,42.0,34.0,58.7,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,44.4,41.4,100.0,55.5,1.9,7.0,39.0,5.1,0.7,-3.0,-2.0,74.3,1.5090090090090091,1.5765765765765767,176639.14414414414
